3.27E-05;2.71E-05;2.01E-05;1.48E-05;0.000541403;0.000428491;8.82E-06
3.85E-05;3.27E-05;2.56E-05;2.02E-05;0.000793568;0.000592125;1.08E-05
4.23E-05;3.57E-05;2.72E-05;2.06E-05;0.000714503;0.000578406;1.10E-05
3.72E-05;3.19E-05;2.56E-05;2.09E-05;0.000723217;0.000554693;1.01E-05
2.54E-05;2.10E-05;1.54E-05;1.12E-05;0.000418552;0.000344066;7.09E-06
2.84E-05;2.30E-05;1.63E-05;1.13E-05;0.000507954;0.000364015;7.99E-06
3.60E-05;2.97E-05;2.15E-05;1.52E-05;0.000637515;0.000495978;9.94E-06
2.92E-05;2.45E-05;1.87E-05;1.44E-05;0.000419747;0.000369955;8.35E-06
3.66E-05;2.97E-05;2.09E-05;1.43E-05;0.000580219;0.00043736;9.92E-06
3.34E-05;2.72E-05;1.96E-05;1.41E-05;0.000468103;0.000393173;9.37E-06
3.22E-05;2.68E-05;2.03E-05;1.55E-05;0.000584275;0.000444441;8.62E-06
2.71E-05;2.17E-05;1.50E-05;1.01E-05;0.000423761;0.000329936;7.79E-06
3.92E-05;3.19E-05;2.27E-05;1.56E-05;0.000654022;0.000468336;1.07E-05
2.92E-05;2.44E-05;1.84E-05;1.37E-05;0.000490889;0.0003719;7.57E-06
2.77E-05;2.31E-05;1.75E-05;1.32E-05;0.000527064;0.00040983;7.40E-06
3.39E-05;2.86E-05;2.21E-05;1.73E-05;0.000518645;0.000417859;9.62E-06
2.56E-05;2.13E-05;1.59E-05;1.19E-05;0.00041267;0.000323849;7.18E-06
3.17E-05;2.61E-05;1.88E-05;1.34E-05;0.000530633;0.00042415;8.75E-06
3.50E-05;2.94E-05;2.23E-05;1.70E-05;0.000494441;0.00043193;9.38E-06
3.10E-05;2.49E-05;1.72E-05;1.14E-05;0.000526624;0.000386573;8.47E-06
3.59E-05;3.04E-05;2.34E-05;1.83E-05;0.00055745;0.000487823;9.72E-06
3.05E-05;2.55E-05;1.88E-05;1.35E-05;0.000513539;0.000399018;7.87E-06
4.23E-05;3.63E-05;2.85E-05;2.23E-05;0.000774682;0.000607632;1.10E-05
3.31E-05;2.64E-05;1.80E-05;1.17E-05;0.000428057;0.000330888;9.48E-06
3.34E-05;2.93E-05;2.45E-05;2.10E-05;0.000631365;0.00050361;8.48E-06
2.37E-05;1.89E-05;1.31E-05;9.08E-06;0.000384987;0.000283067;7.02E-06
2.85E-05;2.30E-05;1.59E-05;1.03E-05;0.000539016;0.000368535;7.36E-06
3.34E-05;2.70E-05;1.92E-05;1.34E-05;0.000601136;0.000451355;1.00E-05
3.89E-05;3.26E-05;2.48E-05;1.90E-05;0.000656652;0.000533554;1.06E-05
4.21E-05;3.56E-05;2.78E-05;2.18E-05;0.000759951;0.000592023;1.11E-05
