0.58423316;1.1499026;1.8881488;2.4579797
0.6490658;1.3601735;2.322476;3.0902472
0.66347563;1.3012998;2.1873925;2.905822
0.6339484;1.3327737;2.3022325;3.0924306
0.54697996;1.1032941;1.8426049;2.424697
0.6707647;1.3732929;2.3343177;3.108401
0.6198484;1.2228632;2.0318518;2.6698267
0.5595145;1.2426931;2.1674614;2.9060946
0.71245253;1.3696256;2.2521;2.9534392
0.6781106;1.2914511;2.1165655;2.7724822
0.6041478;1.2577614;2.1106625;2.7729824
0.66442364;1.3047868;2.1769338;2.8714972
0.7185847;1.3302827;2.1432972;2.7820363
0.58400065;1.1464897;1.8909178;2.4729693
0.72804606;1.2831442;2.0092416;2.5736308
0.5784395;1.1134793;1.8190582;2.3702419
0.68117243;1.3289436;2.174047;2.829659
0.6553815;1.2347182;2.0084734;2.6192749
0.7602149;1.3470595;2.1111455;2.700265
0.5569211;1.2399507;2.1850476;2.9489162
0.6325159;1.262072;2.1042197;2.768877
0.5939035;1.2176832;2.04621;2.6986232
0.7119498;1.327564;2.1704104;2.848251
0.6498088;1.2471104;2.041247;2.6641166
0.7229582;1.3931236;2.3315475;3.095849
0.6324295;1.3069905;2.2471628;3.0121834
0.73784643;1.2960829;2.0486274;2.6475472
0.61031026;1.286382;2.23235;3.0065558
0.55032164;1.1371086;1.9289181;2.5598989
0.67316663;1.3698726;2.332625;3.110053
0.6711365;1.376717;2.338991;3.113151
0.6890725;1.408406;2.396459;3.196003
0.66199034;1.2998422;2.1619616;2.8474631
0.56701756;1.206754;2.061276;2.737637
0.5880358;1.2385538;2.1106336;2.7986841
0.71182835;1.282325;2.0277958;2.6057155
0.65619606;1.2591553;2.0507827;2.6683464
0.7263986;1.4292579;2.3811414;3.139225
0.6416998;1.3213596;2.229529;2.9464312
0.6224767;1.1894015;1.958529;2.5730464
0.7332541;1.470784;2.4851737;3.3049808
0.6329872;1.251895;2.0854836;2.7466693
0.74254113;1.4501977;2.4320283;3.2303793
0.6747638;1.2560726;2.0481467;2.6853306
0.64974165;1.3970785;2.4282358;3.2623732
0.73601335;1.403627;2.3057015;3.0228846
0.7581225;1.4455409;2.4087715;3.1941738
0.6915988;1.2948332;2.1234703;2.7913706
0.6045297;1.2318814;2.0632453;2.7158577
0.721639;1.2602648;1.9797366;2.5447066
0.6191403;1.196319;1.9799224;2.6022575
0.6393459;1.2704413;2.1534302;2.8757124
0.58974457;1.3503563;2.3993654;3.2490964
0.7544049;1.4842569;2.4629726;3.2380955
0.57861716;1.183908;2.0324526;2.725367
0.62135875;1.3160065;2.2790782;3.0583375
0.7371679;1.3748335;2.2142172;2.8680308
