3.34e-05;2.93e-05;2.45e-05;2.1e-05;0.000631365;0.00050361;8.48e-06
2.49e-05;1.99e-05;1.38e-05;9.32e-06;0.000437434;0.000320034;7.08e-06
2.85e-05;2.36e-05;1.73e-05;1.25e-05;0.000469843;0.000382236;7.84e-06
3.86e-05;3.1e-05;2.14e-05;1.43e-05;0.000644439;0.000470765;1.07e-05
3.96e-05;3.38e-05;2.64e-05;2.1e-05;0.00068453;0.000547981;1.05e-05
2.51e-05;1.99e-05;1.36e-05;9.07e-06;0.000480693;0.000350849;7.71e-06
2.93e-05;2.47e-05;1.9e-05;1.46e-05;0.00051134;0.000398611;7.82e-06
2.92e-05;2.41e-05;1.77e-05;1.28e-05;0.000525967;0.000417995;7.8e-06
3.76e-05;3.12e-05;2.33e-05;1.73e-05;0.000647382;0.00048546;1.04e-05
3.14e-05;2.62e-05;1.97e-05;1.48e-05;0.000515977;0.000414562;8.57e-06
2.93e-05;2.43e-05;1.81e-05;1.35e-05;0.000459307;0.000387908;7.75e-06
2.49e-05;2.05e-05;1.51e-05;1.11e-05;0.000419871;0.000325922;7.51e-06
4.14e-05;3.56e-05;2.85e-05;2.31e-05;0.000702854;0.000558229;1.08e-05
4.12e-05;3.61e-05;2.99e-05;2.53e-05;0.000684174;0.000587484;1.07e-05
3.3e-05;2.83e-05;2.26e-05;1.83e-05;0.000635656;0.000484373;8.8e-06
3.26e-05;2.79e-05;2.21e-05;1.78e-05;0.000606391;0.000495091;9.14e-06
3.08e-05;2.53e-05;1.86e-05;1.38e-05;0.000447933;0.000368023;8.73e-06
2.69e-05;2.28e-05;1.79e-05;1.43e-05;0.000484192;0.000374203;8.1e-06
2.6e-05;2.18e-05;1.67e-05;1.3e-05;0.000498642;0.000371594;7.19e-06
4.15e-05;3.46e-05;2.55e-05;1.84e-05;0.000715492;0.00054454;1.06e-05
3.4e-05;2.83e-05;2.12e-05;1.59e-05;0.000603237;0.000480747;9.19e-06
